"id","text"
"1","%1X%.%2Y%"
"300","Error"
"303","WARNING: Not enough physical memory to run the game smoothly. Your system must have at least 8GB of RAM.\r\nYou may experience the game crashing, lagging, or being unresponsive."
"304","Your computer does not have enough available virtual memory. %s \r\n\r\nPlease close other applications or increase paging file size to increase available memory."
"400","Error"
"401","Steam must be running to play this game.  Try again by launching game from Steam."
"402","Game is not being run as a known Age of Empires IV product.  Try again by launching game from Steam."
"403","Current Steam account does not own this Age of Empires IV product.  Switch Steam accounts and try again."
"404","No Valid Steam user.  Check you are fully logged in or switch accounts and try again."
"405","Steam is down or you are not logged in fully.  Please restart your Steam client and try again."
"1081","Age of Empires IV"
"1254","%1HOURS:02%:%2MINUTES:02%:%3SECONDS:02%"
"1272","%1MINUTES:02%:%2SECONDS:02%"
"1300","Team %1TEAMNUM%"
"1302","AI"
"1303","Open"
"1304","Closed"
"1309","A.I. Easy"
"1310","A.I. Intermediate"
"1311","A.I. Hard"
"1312","A.I. Hardest"
"1411","OK"
"1500","AI"
"1750","Game Paused"
"1752","Playback"
"1753","Playback over."
"1754","Fatal Scar Error - Execution Paused"
"1755","Sync-error detected"
"1756","Data-Sync-error detected - Game data does not match"
"1757","Fatal AI Error - Execution Paused"
"2500","OK"
"2502","CANCEL"
"2525","whisper"
"2526","w"
"2527","msg"
"2528","m"
"2529","broadcast"
"2530","b"
"2531","team"
"2532","t"
"2533","help"
"2534","h"
"2535","?"
"2550","That is not a valid command. Type /help for more info."
"2552","Who do you want to send the message to?"
"2553","What do you want to say?"
"2554","What do you want to say?"
"2555","What do you want to say?"
"2556","Unrecognized command. Type /help for more info."
"2750","Parental Control"
"2751","The current Windows user does not have permission to play Age of Empires IV."
"2850","Failed to find a supported hardware rendering device. Ensure that your system meets the minimum requirements for Age of Empires IV. Verify that DirectX is properly installed and that you have the latest drivers for your system."
"2851","Failed to find a supported hardware rendering device. Ensure that your system meets the minimum requirements for Age of Empires IV."
"2852","Failed to initialize rendering device."
"2853","Failed to find a working fullscreen mode."
"2854","Failed to set a working mode for the rendering device. This could be due to having an old version of DirectX installed."
"2855","Graphics Setup"
"2856","Age of Empires IV"
"2857","An instance of this program is already running."
"2900","On"
"2901","Off"
"2902","Higher"
"2903","High"
"2904","Medium"
"2905","Low"
"2906","Far"
"2907","Near"
"2921","System Configuration"
"2922","Medium"
"2923","Low"
"2924","Surround Sound"
"2925","SRS Circle Surround"
"2930","%1WIDTH%x%2HEIGHT% @%3REFRESHRATE%Hz"
"2931","%1WIDTH%x%2HEIGHT% @%3REFRESHRATE%Hz (widescreen)"
"2932","Enabled"
"2933","Disabled"
"2934","Enable"
"2935","Disable"
"2936","Advanced"
"2937","Custom (Advanced)"
"2943","Quality"
"2944","Performance"
"2945","Balanced"
"2946","Very Low"
"2954","FSAA"
"2955","V-Sync"
"2956","Minimum"
"2957","Maximum"
"2958","Window"
"2959","Windowed"
"2960","Full Screen"
"2961","Automatic"
"2962","Do you wish to keep these settings?"
"2963","Yes"
"2964","No"
"2966","No Team"
"2971","Low Virtual Address Space"
"2972","These settings require more memory than your system has.  Please lower them to continue."
"21504","Load Replay"
"22001","Squad Control"
"22005","SELECT"
"22006","EXTRAS"
"22007","Mouse Scroll Speed"
"22008","Playback Frequency"
"22009","Audio FX"
"22010","Sound Configuration"
"22011","ADD"
"22012","SET DEFAULTS"
"22013","MAIN MENU"
"22015","Player Color"
"22016","Resolution"
"22017","Shadows"
"22018","Reflections"
"22019","Shader Complexity"
"22020","Brightness"
"22021","Texture Detail"
"23001","Online"
"23002","Host"
"23003","Join"
"23004","Back"
"38070","Requirements: %1REQUIREMENTSLIST%"
"38071",","
"38072","..."
"38074","Population Capacity Reached"
"38076","Not Accessible"
"38077","Not enough Resources"
"38079","Unable to Perform Actions"
"38080","%1PREREQS% OR %2PREREQS%"
"38081","%1PREREQS% AND %2PREREQS%"
"38082","Not the correct faction."
"38084","Not enough Squad members"
"38085","Can't attack: Weapons disabled"
"38086","Can't move: disabled"
"38087","NOT %1PREREQS%"
"38088","Recharging (%1SECONDS% secs left)"
"38089","Active for %1SECONDS% secs"
"38090","Producing…"
"38091","Missing map entry point"
"38092","Population Capacity Reached"
"38094","Ability is active"
"38104","Need specific terrain"
"38105","Must be damaged"
"38106","Must be healed"
"38107","Stationary"
"38108","Must be garrisoned"
"38109","Must be setup in territory"
"38110","Weapon is not enabled"
"38111","Team Weapon must be setup"
"38119","Must be in combat"
"38121","Requirement: Squad Casualty"
"38287","Left click to begin Upgrading."
"38288","Left click to call one Reinforcement."
"38289","Left click to begin Deployment."
"38291","Left click to select Demolition location."
"38292","Left click to select Build location."
"39255","Cannot use ability on this target"
"39257","Mission Complete"
"39300","Objective Completed: %1OBJECTIVE_TITLE%"
"39301","Objective Failed: %1OBJECTIVE_TITLE%"
"39307","Objective Updated: %1OBJECTIVE_TITLE%"
"40530","Standard"
"40531","Moderate"
"40532","Hard"
"40533","Hardest"
"40560","Standard Resources"
"40561","High Resources"
"40562","Dev Resources"
"40610","Random Locations"
"40611","Fixed Locations"
"40790","Attack! Ping"
"40791","Send an ""Attack!"" ping to your allies."
"40820","Move"
"40821","Right click on a location to move there."
"40823","Attack Move"
"40825","Unit moves to target position attacking enemies they encounter along the way. When the Attack Move Behavior option is set to Legacy, using Attack Move on an enemy building or unit directly attacks that target."
"40828","Attack Ground"
"40829","Unit fires on the targeted location until ordered to stop."
"40830","Stop"
"40831","Orders units to stop their current actions."
"40836","Rally Point"
"40838","Retreat"
"40839","Retreat units to the nearest HQ."
"40840","Garrison"
"40841","Orders Units to enter target building or transport."
"40842","Ungarrison All Units"
"40843","Orders all garrisoned units to exit this building or transport."
"40844","Ungarrison"
"40845","Orders units to exit their garrison and move the target location."
"40846","Delete"
"40847","Delete this Unit or Structure."
"40848","Cancels construction of the building. Canceling construction of a building refunds an amount of resources."
"40860","Abandon Team Weapon"
"40861","Orders the crew to abandon the Team Weapon."
"40884","Left click icon to Retreat."
"40885","Issues a Rally Point order. Rally Point orders are given to units when they are produced. You can queue multiple Rally Points by holding Shift and issuing additional Rally Point orders. If a unit cannot be given the desired order it will move there instead."
"42750","EVENT CUE ITEM"
"42751","Event Cue HelpText"
"42752","This is the help text for an event that has occurred!  Left click to move to the location of the event.  Right click to dismiss this icon."
"42755","Building Complete: %1NAME%"
"42758","Squad Complete: %1NAME%"
"42761","Under Attack!"
"42762","%1PLAYER% is being Attacked."
"42764","Upgrade Complete: %1NAME%"
"42766","Incoming Enemy!"
"42767","Enemy have breached the front lines."
"42769","Infopoint activated!"
"42770","An information point has been activated."
"42771","Crossing into Enemy Territory!"
"42772","You are in Enemy Territory."
"42774","Ability executed: %1ABILITY%"
"42777","Unit Sniped!"
"42778","A Unit has been killed by a Sniper."
"42780","%1POINT% is being captured by the enemy!"
"42783","Tactical Briefing Available"
"42784","Click to view Tactical Briefing"
"42786","%1ALLY% under attack!"
"42787","%1ALLY% is being attacked."
"42789","%1PLAYER% has begun phase %2PHASE%"
"42792","You have captured %1Point%"
"42798","Mine Detected!"
"42800","1 minute remaining"
"42801","2 minutes remaining"
"42805","15 minutes remaining"
"42810","Church Lost"
"42811","Town Hall Lost"
"42812","Troops Surrendered"
"42813","Reinforcements have arrived!"
"42814","Reinforcements"
"42887","*** %1ARMYTYPENAME% player: %2EVENTINFO%"
"43005","Production queue is full."
"43015","Cannot unload at that location."
"43024","Cannot build here"
"43026","Must Build within Territory."
"43027","Must Build within connected Territory."
"43028","Cannot Build while location is under being taken"
"43030","Invalid ability target."
"43099","An unhandled error has occurred."
"43300","Ok"
"43301","Cancel"
"43302","Yes"
"43303","No"
"43304","Continue"
"43305","Abort"
"43306","Accept"
"43307","Save"
"43400","+%1RESOURCE%"
"61121","%1DATE% %2TIME%"
"61150","Warning: Using the selected Texture Detail on this system may cause performance and visual problems."
"61151","Continue"
"61152","Modify"
"61153","Warning: Using High Model Quality on this system may cause performance and visual problems."
"61154","Warning: Using Ultra Texture Detail on this system will cause stability issues. Please change to a lower texture detail setting."
"61155","Warning: Your computer does not have enough memory to optimally run these settings.  You will have long load times and performance stutters."
"71750","Close"
"503259","Reset default game options"
"509013","Reset"
"550001","Connecting"
"550002","Connecting to the game…"
"550003","There was a problem searching for games. Please try again.\r\n\r\nError code: %1ERRORCODE%"
"550004","Disconnected from the game."
"550005","You have been disconnected from the game. Press OK to choose another game."
"550006","Invalid number of Players"
"550007","You have chosen a map that can handle fewer players than are currently in the game, choose a map with %1PLAYERS% or more."
"550008","Error Starting Game"
"550009","There was an error starting the LAN game, check all settings and the game version, then try again."
"550010","Incompatible game version"
"550011","You have tried to join a game that is not compatible with the version you are running. Check that you have the same build, and the same command line arguments."
"550012","Disconnecting"
"550013","Shutting down the game…"
"550014","Host Changed"
"550015","The host has left, and you have become the new host."
"550016","Joining IP game"
"550017","Please wait, joining the direct IP game."
"550018","Join Failed"
"550019","An error occurred while trying to join the direct IP game."
"550020","Hosting Network Error"
"550021","An error occurred while trying to host a game. Restart the game and try again."
"550022","No win conditions are set. Please set at least one win condition before continuing."
"550023","The scenario you selected is invalid. Please select a valid scenario."
"550024","There aren't enough teams to start a game."
"550025","One of the players has not selected a race. Please ensure all players have selected a proper race to play."
"550026","This game requires a remote player to start."
"550027","Quit to the main menu"
"550028","Are you sure you want to quit?"
"550029","Looking up player statistics…"
"550030","Failed to look up player statistics."
"550041","You cannot start the game with unfilled slots. Close any currently open slots and try again."
"550044","Network Error"
"550045","An error has occurred with the network system"
"550051","You have been banned from this game"
"550052","You have been kicked from this game"
"550053","You have timed out"
"550060","%1PLAYER% has surrendered and left the game"
"550061","%1PLAYER% has been kicked from the game"
"550062","%1PLAYER% has left (timeout)"
"550063","Wrong password provided."
"550100","Can't join match"
"550101","The host did not respond to the connection request"
"550102","Your connection to the host has timed out"
"550103","Unable to contact the online server this time"
"550104","A NAT negotiation failure has occurred. Unable to connect to %1PLAYERLIST%"
"550105","Incorrect password information was provided"
"550106","The hosts devmode setting are different from yours"
"550107","The host of the game is using a different mod than you are."
"550108","Wrong version. The host of the game is using a different mod version than you are"
"550109","Wrong version. The host of the game is using a different application version than you are."
"550110","The host of the game is using a different mod than you are."
"550111","Wrong version. The host of the game is using a different mod dll version than you are."
"550112","Wrong version. The host of the game is using different product data than you are."
"550113","Game is full"
"550114","The name you are trying to use is already in the game"
"550115","The host of the game is ignoring you"
"550116","The game is currently being started"
"550117","You do not have access to the selected game options.\nOne of these actions will allow access:"
"550118","Join selected game"
"550119","Select a game"
"556000","%1Player%:"
"556001","Whisper from %1Player%:"
"556002","%1Message%"
"556003","%1Player% has joined the channel"
"556004","%1Player% has left the channel"
"556005","Your chat has been temporarily muted for spamming."
"556006","Whispered to %1Player%:"
"556007","%1Player% to team:"
"556008","Lv. %1level%"
"556009","That command is not available in game"
"556102","join"
"556103","ignore"
"556104","unignore"
"556105","ignorelist"
"556106","help"
"556107","addfriend"
"556108","removefriend"
"556112","invite"
"556113","joinfriend"
"557000","You must specify someone to chat with."
"557001","A message is required if you wish to whisper to someone."
"557002","You can't send a whisper to yourself."
"557003","Unable to find channel %1ChannelName%"
"557004","You must specify a channel name to join."
"557005","The channel exists, but we failed to join it. Please try again."
"557006","The following players were not ignored (they are already being ignored, or you are unable to ignore them): %1PLAYERLIST%"
"557007","You have ignored %1PLAYER%."
"557008","Your ignore list is empty."
"557009","You are currently ignoring: %1PLAYERS%"
"557011","Invalid Command."
"557012","You have requested to be %1PLAYER%'s friend."
"557013","Can't add %1PLAYER% as a friend"
"557014","Friend %1PLAYER% accepted"
"557015","Couldn't accept %1PLAYER% as a friend"
"557016","Failed to remove %1PLAYER% as a friend"
"557017","Couldn't Remove Friend"
"557018","There is no one to reply to"
"557019","Unable to send a whisper to %1PLAYER%."
"557020","You must specify the name of the person to add as a friend"
"557021","Must specify the name of at least one person to remove as friend"
"557022","Cannot ignore %1PLAYER%, invalid user name"
"557023","You have invited %1PlayerName% to your game."
"557024","You must specify a name to invite"
"557025","You cannot invite a player that is not on your friends list"
"557026","You must be setting up a game to invite someone to the game"
"557027","Your invitation could not be sent"
"557028","Unable to send a whisper to offline user %1PLAYER%."
"557029","Unable to send a whisper to unknown user %1PLAYER%."
"557030","You must specify a name to join."
"557031","You cannot join a player that is not on your friends list."
"557032","You must not be setting up a game to join someone else's game."
"557033","Your join request could not be sent."
"559049","Auto"
"559099","The following players could not be unignored: %1PLAYERLIST%"
"559100","The following players could not be added as friends: %1PLAYERLIST%"
"559101","The following players are still friends: %1PLAYERLIST%"
"563214","Last Played Game"
"604270","Exit to Windows"
"701000","Speaker Configuration"
"701002","Master Volume"
"701003","Speech Volume"
"701004","Music Volume"
"701005","SFX Volume"
"701006","Adjusts the speed at which the in-game screen moves when touching the edges of the screen with the cursor."
"701007","Anti-Aliasing"
"701008","Physics"
"701013","Display Resolution"
"701015","Full Screen Brightness"
"701016","Texture Detail"
"701026","Key Scroll Speed"
"701056","For best image quality choose a resolution that matches your display device. Higher settings require a high performance video card."
"701057","Reduce blurriness when zooming in on units by using larger textures.  Higher settings require a video card with more RAM."
"701066","Adjust Music Volume"
"701067","Adjust SFX and Movie Volume"
"701068","Adjust Speech Volume"
"701069","Adjust display brightness while in full screen mode. You can enter full screen mode by pressing ALT+Enter"
"701070","Enable more realistic simulation of dying units. Requires a faster CPU."
"701075","Smooths out jagged edges. Low uses the FXAA image filter to detect aliasing and reduce it. Medium and High use the same post processing technique, but improve on it by rendering the world at 225% or 400% resolution for Super Sample anti-aliasing.  These higher settings require a very high performance video card and are likely to impact performance more than any other setting."
"701080","Controls the audio quality of the game."
"701081","Select the Speaker Configuration that best describes your Audio Setup."
"710059","Save Replay"
"712761","Mouse Scroll Speed"
"712762","Sticky Selection"
"712763","Event Cues"
"712766","Disable the UI for all Event Cues"
"712775","Disabling Sticky Selection allows you to de-select your Units."
"712776","Show Paths"
"712777","Show Subtitles"
"712778","Show subtitles during movies"
"712779","Show Player Color"
"712780","Show all players as unique colors"
"712781","Show the paths taken by units when they are ordered to move."
"800000","A player report that you have sent has successfully helped us ban a disruptive player in our community. Thank you for your help!\r\n\r\nFor information on player safety features go to https://aoe.ms/AgeIV-Report"
"800001","Thank you for your report"
"800002","You are receiving a warning for disruptive behavior. Further behavior like this will result in a ban!"
"800003","We have given you a temporary ban based on observed bad behavior."
"800004","Message from the online player reporting system."
"999070","[SALIS]Generic Text 0"
"999071","[SALIS]Generic Text 1"
"999072","[SALIS]Generic Text 2"
"999073","[SALIS]Generic Text 3"
"999074","[SALIS]Generic Text 4"
"999075","Salisbury"
"999076","Marquee Speed"
"999077","Hold Time"
"999078","Repeat Time"
"999079","Pan Inertia"
"999080","Camera Reset Behavior"
"999081","Reticle Magnetism Scale"
"999082","Maximum Camera Panning Speed"
"999083","Controls"
"999084","Feature Settings"
"999085","B"
"999086","C"
"999087","D"
"999088","E"
"999089","F"
"999090","Formation Cycling"
"999091","Contextual Commands"
"999092","Contextual Military Commands"
"999093","Snap to Alerts"
"999094","Select by Job"
"999095","Auto Control Group"
"999096","Auto Town Center"
"999097","Toggle Radial Menu"
"999098","Auto Villager Toggle"
"999099","Toggle Reticle Action Line"
"999100","Toggle Action Lines"
"999101","Left Thumbstick Dead Zone"
"999102","Right Thumbstick Dead Zone"
"999103","Loose Reticle Mode"
"999104","Circle"
"999105","Loose Reticle Soft Border Width"
"999106","Pan Speed"
